"effective_date","publishing_date","version","category","is_latest_release","modification_date","url","filename","filetype","content_length","content_type","last_modified","actual_length","hash"
"14.11.2018","","1","EAS code list","false","2021-12-13 17:40:11.675","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%201%20-%20November%202018%20%283%29.xlsx?version=1&modificationDate=1639417211675&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%201%20-%20November%202018%20%283%29.xlsx","XLSX","15265","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","15265","9834b41b417de83839da2630db52af7d2fd97cf6daf0063fd117cc4fe28b1a36"
"15.03.2019","","2","EAS code list","false","2021-12-13 17:40:11.691","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%202%20-%20published%2015%2003%202019%20%285%29.xlsx?version=1&modificationDate=1639417211691&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%202%20-%20published%2015%2003%202019%20%285%29.xlsx","XLSX","16576","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","16576","71c34dfe660a2f9bc6fa2a64be41de8ba7a0a0271b427b93c1f2eb9124c3a0c9"
"15.03.2019","","1","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.596","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20%281%29%20%281%29.xlsx?version=1&modificationDate=1639417211596&api=v2","EN16931%20code%20lists%20%281%29%20%281%29.xlsx","XLSX","173421","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","173421","0873e8fe55b5a63e872cd8bca76caef8bb52de4a9aa63c44a11f021fb320a0fc"
"15.03.2019","","1","Tax Exemption Reason","false","2021-12-13 17:40:11.648","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Tax%20Exemption%20Reason%20Code%20list%20-%20verion%201%20-%20published%2015%2003%202019%20%283%29.xlsx?version=1&modificationDate=1639417211648&api=v2","Tax%20Exemption%20Reason%20Code%20list%20-%20verion%201%20-%20published%2015%2003%202019%20%283%29.xlsx","XLSX","20282","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","20282","5154919425d6a1e3ad7720c039eac31306c76690ca0520c996e048c8465eadbf"
"14.05.2019","","1.2.1","validation-artefacts-CII","false","2021-12-13 17:40:11.479","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.2.1%20%281%29.zip?version=1&modificationDate=1639417211479&api=v2","en16931-cii-1.2.1%20%281%29.zip","ZIP","141926","application/zip;charset=UTF-8","1970-01-19 23:23:37","141926","0426af27450d4c702ae0e14c286bf42ba56487871c86e6b52cb9f123bb0edd41"
"14.05.2019","","1.2.1","validation-artefacts-UBL","false","2021-12-13 17:40:11.496","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.2.1.zip?version=1&modificationDate=1639417211496&api=v2","en16931-ubl-1.2.1.zip","ZIP","150351","application/zip;charset=UTF-8","1970-01-19 23:23:37","150351","a4e15b5e480fd161d4b21d713c20e5408e0ef0871a5060286bac1965b2f94f87"
"17.06.2019","","3","EAS code list","false","2021-12-13 17:40:11.706","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%203%20-%20published%202019-06-15%20%284%29.xlsx?version=1&modificationDate=1639417211706&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%203%20-%20published%202019-06-15%20%284%29.xlsx","XLSX","16751","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","16751","aa253652119d7754f046b983c0d142de1842dd37acfb93089d49c8ce55a32fae"
"17.06.2019","","2","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.613","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20used%20from%202019-06-15%20%283%29.xlsx?version=1&modificationDate=1639417211613&api=v2","EN16931%20code%20lists%20values%20used%20from%202019-06-15%20%283%29.xlsx","XLSX","174469","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","174469","c28ccfb0d73a108fec709cc5c2529adc936e7aff184fee5d908a1c8816bbf1bc"
"05.07.2019","","1.2.3","validation-artefacts-CII","false","2021-12-13 17:40:11.518","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.2.3.zip?version=1&modificationDate=1639417211518&api=v2","en16931-cii-1.2.3.zip","ZIP","141996","application/zip;charset=UTF-8","1970-01-19 23:23:37","141996","2cf8add87df4d69596f78afcea976ccea35f86704ec8cad9d4aad5c7f368c257"
"05.07.2019","","1.2.3","validation-artefacts-UBL","false","2021-12-13 17:40:11.538","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.2.3%20%281%29.zip?version=1&modificationDate=1639417211538&api=v2","en16931-ubl-1.2.3%20%281%29.zip","ZIP","150579","application/zip;charset=UTF-8","1970-01-19 23:23:37","150579","a4aa991e9ab9b617835ce1a6bb8effb2a4609a0e72b998b48448f107f24c08b5"
