"effective_date","publishing_date","version","category","is_latest_release","modification_date","url","filename","filetype","content_length","content_type","last_modified"
"14.11.2018","","1","EAS code list","false","2021-12-13 17:40:11.675","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%201%20-%20November%202018%20%283%29.xlsx?version=1&modificationDate=1639417211675&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%201%20-%20November%202018%20%283%29.xlsx","XLSX","15265","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37"
"15.03.2019","","2","EAS code list","false","2021-12-13 17:40:11.691","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%202%20-%20published%2015%2003%202019%20%285%29.xlsx?version=1&modificationDate=1639417211691&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%202%20-%20published%2015%2003%202019%20%285%29.xlsx","XLSX","16576","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37"
"15.03.2019","","1","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.596","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20%281%29%20%281%29.xlsx?version=1&modificationDate=1639417211596&api=v2","EN16931%20code%20lists%20%281%29%20%281%29.xlsx","XLSX","173421","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37"
"15.03.2019","","1","Tax Exemption Reason","false","2021-12-13 17:40:11.648","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Tax%20Exemption%20Reason%20Code%20list%20-%20verion%201%20-%20published%2015%2003%202019%20%283%29.xlsx?version=1&modificationDate=1639417211648&api=v2","Tax%20Exemption%20Reason%20Code%20list%20-%20verion%201%20-%20published%2015%2003%202019%20%283%29.xlsx","XLSX","20282","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37"
"14.05.2019","","1.2.1","validation-artefacts-CII","false","2021-12-13 17:40:11.479","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.2.1%20%281%29.zip?version=1&modificationDate=1639417211479&api=v2","en16931-cii-1.2.1%20%281%29.zip","ZIP","141926","application/zip;charset=UTF-8","1970-01-19 23:23:37"
"14.05.2019","","1.2.1","validation-artefacts-UBL","false","2021-12-13 17:40:11.496","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.2.1.zip?version=1&modificationDate=1639417211496&api=v2","en16931-ubl-1.2.1.zip","ZIP","150351","application/zip;charset=UTF-8","1970-01-19 23:23:37"
"17.06.2019","","3","EAS code list","false","2021-12-13 17:40:11.706","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%203%20-%20published%202019-06-15%20%284%29.xlsx?version=1&modificationDate=1639417211706&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%203%20-%20published%202019-06-15%20%284%29.xlsx","XLSX","16751","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37"
"17.06.2019","","2","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.613","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20used%20from%202019-06-15%20%283%29.xlsx?version=1&modificationDate=1639417211613&api=v2","EN16931%20code%20lists%20values%20used%20from%202019-06-15%20%283%29.xlsx","XLSX","174469","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37"
"05.07.2019","","1.2.3","validation-artefacts-CII","false","2021-12-13 17:40:11.518","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.2.3.zip?version=1&modificationDate=1639417211518&api=v2","en16931-cii-1.2.3.zip","ZIP","141996","application/zip;charset=UTF-8","1970-01-19 23:23:37"
"05.07.2019","","1.2.3","validation-artefacts-UBL","false","2021-12-13 17:40:11.538","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.2.3%20%281%29.zip?version=1&modificationDate=1639417211538&api=v2","en16931-ubl-1.2.3%20%281%29.zip","ZIP","150579","application/zip;charset=UTF-8","1970-01-19 23:23:37"
